"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 27, 2021","1,853.80","1,858.60","1,858.60","1,843.00","1.26K","-0.32%"
"Jan 26, 2021","1,859.80","1,868.60","1,868.60","1,857.00","1.71K","-0.22%"
"Jan 25, 2021","1,863.90","1,864.40","1,874.40","1,855.00","1.66K","-0.05%"
"Jan 22, 2021","1,864.80","1,871.30","1,871.30","1,845.00","1.12K","-0.49%"
"Jan 21, 2021","1,874.00","1,876.90","1,882.70","1,869.20","1.81K","-0.04%"
"Jan 20, 2021","1,874.80","1,853.10","1,880.00","1,840.00","1.02K","1.40%"
"Jan 19, 2021","1,849.00","1,832.80","1,850.70","1,810.00","1.63K","0.68%"
"Jan 18, 2021","1,836.60","1,809.65","1,839.45","1,809.65","-","1.48%"
"Jan 17, 2021","1,809.75","1,826.80","1,829.10","1,803.60","-","-1.59%"
"Jan 15, 2021","1,839.00","1,857.90","1,863.40","1,832.30","0.54K","-1.18%"
"Jan 14, 2021","1,861.00","1,856.90","1,866.20","1,836.60","1.94K","-0.19%"
"Jan 13, 2021","1,864.60","1,867.20","1,871.00","1,851.60","1.82K","0.57%"
"Jan 12, 2021","1,854.10","1,860.20","1,873.20","1,846.00","1.40K","-0.37%"
"Jan 11, 2021","1,860.90","1,853.40","1,861.30","1,828.20","1.37K","0.84%"
"Jan 08, 2021","1,845.40","1,919.70","1,920.60","1,844.00","3.45K","-4.09%"
"Jan 07, 2021","1,924.00","1,933.80","1,938.00","1,920.70","3.30K","0.24%"
"Jan 06, 2021","1,919.40","1,965.60","1,971.50","1,914.40","3.81K","-2.33%"
"Jan 05, 2021","1,965.20","1,955.00","1,965.90","1,953.70","2.22K","0.39%"
"Jan 04, 2021","1,957.60","1,927.20","1,959.20","1,926.90","1.25K","2.94%"
"Jan 01, 2021","1,901.60","1,901.60","1,901.60","1,901.60","-","-0.22%"
"Dec 31, 2020","1,905.80","1,910.00","1,915.20","1,902.90","0.73K","0.09%"
"Dec 30, 2020","1,904.00","1,896.50","1,906.40","1,891.20","0.66K","0.56%"
