"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 12, 2020","25.91","25.98","26.23","25.84","12.86M","0.47%"
"Nov 11, 2020","25.79","25.77","25.80","25.35","21.29M","-0.58%"
"Nov 10, 2020","25.94","26.94","27.00","25.91","23.18M","-3.57%"
"Nov 09, 2020","26.90","27.11","27.42","26.09","47.57M","-6.82%"
"Nov 06, 2020","28.87","29.56","29.60","28.75","13.54M","-1.53%"
"Nov 05, 2020","29.32","28.48","29.55","28.43","28.54M","6.93%"
"Nov 04, 2020","27.42","27.74","28.10","27.35","14.80M","-1.30%"
"Nov 03, 2020","27.78","27.46","27.88","27.25","14.10M","2.28%"
"Nov 02, 2020","27.16","27.00","27.20","26.52","14.92M","1.61%"
"Oct 30, 2020","26.73","26.41","26.77","25.75","14.86M","2.14%"
"Oct 29, 2020","26.17","25.65","26.57","25.56","15.40M","0.96%"
"Oct 28, 2020","25.92","26.49","26.55","25.71","22.18M","-4.32%"
"Oct 27, 2020","27.09","26.66","27.12","26.52","10.36M","1.73%"
"Oct 26, 2020","26.63","26.59","27.18","26.58","10.15M","-0.67%"
"Oct 23, 2020","26.81","26.78","26.94","26.61","9.64M","-0.30%"
"Oct 22, 2020","26.89","27.06","27.10","26.55","13.56M","-1.75%"
"Oct 21, 2020","27.37","27.28","27.53","27.10","11.09M","1.11%"
"Oct 20, 2020","27.07","27.06","27.27","26.84","14.48M","0.19%"
"Oct 19, 2020","27.02","27.79","27.96","27.01","12.82M","-1.99%"
"Oct 16, 2020","27.57","27.86","27.89","27.50","8.99M","-0.65%"
"Oct 15, 2020","27.75","27.83","28.07","27.57","10.77M","-1.98%"
"Oct 14, 2020","28.31","28.20","28.59","27.95","10.56M","1.25%"
"Oct 13, 2020","27.96","27.80","28.06","27.18","12.47M","-0.29%"
"Oct 12, 2020","28.04","28.05","28.18","27.80","9.85M","-0.04%"
"Oct 09, 2020","28.05","27.77","28.05","27.52","14.50M","2.86%"
"Oct 08, 2020","27.27","27.12","27.52","26.90","13.37M","1.19%"
"Oct 07, 2020","26.95","27.39","27.53","26.88","18.02M","-0.41%"
"Oct 06, 2020","27.06","28.46","28.52","27.05","18.52M","-4.62%"
"Oct 05, 2020","28.37","28.01","28.74","27.97","10.68M","1.72%"
"Oct 02, 2020","27.89","28.19","28.39","27.82","9.88M","-1.31%"
"Oct 01, 2020","28.26","28.39","28.54","28.07","10.35M","0.53%"
"Sep 30, 2020","28.11","28.09","28.38","27.80","14.89M","-0.60%"
"Sep 29, 2020","28.28","28.00","28.48","27.89","12.47M","1.87%"
"Sep 28, 2020","27.76","28.00","28.04","27.45","12.47M","0.22%"
"Sep 25, 2020","27.70","27.55","27.85","27.26","9.43M","0.18%"
"Sep 24, 2020","27.65","26.87","27.77","26.83","19.46M","1.88%"
"Sep 23, 2020","27.14","28.04","28.10","27.00","24.14M","-4.50%"
"Sep 22, 2020","28.42","28.29","28.64","28.12","13.37M","0.82%"
"Sep 21, 2020","28.19","28.31","28.68","27.82","17.43M","-2.42%"
"Sep 18, 2020","28.89","29.30","29.56","28.86","26.96M","-0.86%"
"Sep 17, 2020","29.14","29.53","29.53","28.81","26.14M","-2.83%"
"Sep 16, 2020","29.99","30.19","30.36","29.60","20.85M","0.00%"
"Sep 15, 2020","29.99","30.33","30.52","29.87","12.55M","0.20%"
"Sep 14, 2020","29.93","30.03","30.30","29.42","15.41M","0.61%"
